Model,2017,2016,2015,2014,2013,2012,2011,2010
Mitsubishi Outlander P-HEV,19189,21446,31214,19853,8197,0,0,0
Renault Zoe,31302,21735,18728,11231,8863,68,0,0
Nissan Leaf,17293,18718,15455,14658,11120,5210,1728,144
BMW i3,20855,14999,12047,9744,1477,0,0,0
Tesla Model S,15400,10567,15515,8734,3900,0,0,0
Volkswagen Golf GTE,9267,11329,17300,1097,0,0,0,0
Volkswagen e-Golf,12663,6543,11110,3328,0,0,0,0
Volkswagen Passat GTE,13599,13110,4922,1,0,0,0,0
Renault Kangoo Z.E.,4233,3901,4238,4197,5850,5260,991,0
Audi A3 e-tron,8356,6908,11791,1154,0,0,0,0
Volvo V60 Plug-in Hybrid,1677,4119,6349,5441,8066,42,0,0
Mercedes-Benz C 350 e,6861,10125,5006,57,0,0,0,0
Volvo XC90 T8,7847,9469,2653,0,0,0,0,0
BMW 330e iPerformance,10117,8691,0,0,0,0,0,0
